Date,CL=F,DX-Y.NYB,GC=F,^GSPC,^IXIC
2023-05-10,72.55999755859375,101.4800033569336,2030.5,4137.64013671875,12306.4404296875
2023-05-11,70.87000274658203,102.05999755859375,2014.699951171875,4130.6201171875,12328.509765625
2023-05-12,70.04000091552734,102.68000030517578,2014.5,4124.080078125,12284.740234375
2023-05-15,71.11000061035156,102.43000030517578,2018.0,4136.27978515625,12365.2099609375
2023-05-16,70.86000061035156,102.55999755859375,1988.4000244140625,4109.89990234375,12343.0498046875
2023-05-17,72.83000183105469,102.87999725341797,1980.699951171875,4158.77001953125,12500.5703125
2023-05-18,71.86000061035156,103.58000183105469,1956.5,4198.0498046875,12688.83984375
2023-05-19,71.55000305175781,103.19999694824219,1978.699951171875,4191.97998046875,12657.900390625
2023-05-22,71.98999786376953,103.19999694824219,1974.800048828125,4192.6298828125,12720.7802734375
2023-05-23,72.91000366210938,103.48999786376953,1972.4000244140625,4145.580078125,12560.25
2023-05-24,74.33999633789062,103.88999938964844,1962.800048828125,4115.240234375,12484.16015625
2023-05-25,71.83000183105469,104.20999908447266,1943.0999755859375,4151.27978515625,12698.08984375
2023-05-26,72.66999816894531,104.20999908447266,1944.0999755859375,4205.4501953125,12975.6904296875
2023-05-30,69.45999908447266,104.16999816894531,1958.0,4205.52001953125,13017.4296875
2023-05-31,68.08999633789062,104.31999969482422,1963.9000244140625,4179.830078125,12935.2900390625
2023-06-01,70.0999984741211,103.55999755859375,1978.0,4221.02001953125,13100.98046875
2023-06-02,71.73999786376953,104.0199966430664,1952.4000244140625,4282.3701171875,13240.76953125
2023-06-05,72.1500015258789,104.0,1958.0,4273.7900390625,13229.4296875
2023-06-06,71.73999786376953,104.12999725341797,1965.5,4283.85009765625,13276.419921875
2023-06-07,72.52999877929688,104.0999984741211,1942.699951171875,4267.52001953125,13104.900390625
2023-06-08,71.29000091552734,103.33999633789062,1963.5999755859375,4293.93017578125,13238.51953125
2023-06-09,70.16999816894531,103.55999755859375,1962.199951171875,4298.85986328125,13259.1396484375
2023-06-12,67.12000274658203,103.62999725341797,1955.300048828125,4338.93017578125,13461.919921875
2023-06-13,69.41999816894531,103.33999633789062,1944.5999755859375,4369.009765625,13573.3203125
2023-06-14,68.2699966430664,103.01000213623047,1955.300048828125,4372.58984375,13626.48046875
2023-06-15,70.62000274658203,102.12000274658203,1957.800048828125,4425.83984375,13782.8203125
2023-06-16,71.77999877929688,102.30000305175781,1958.4000244140625,4409.58984375,13689.5703125
2023-06-20,70.5,102.54000091552734,1935.5,4388.7099609375,13667.2900390625
2023-06-21,72.52999877929688,102.06999969482422,1933.300048828125,4365.68994140625,13502.2001953125
2023-06-22,69.51000213623047,102.38999938964844,1912.699951171875,4381.89013671875,13630.6103515625
2023-06-23,69.16000366210938,102.9000015258789,1919.0999755859375,4348.330078125,13492.51953125
2023-06-26,69.37000274658203,102.69000244140625,1923.699951171875,4328.81982421875,13335.7802734375
2023-06-27,67.69999694824219,102.48999786376953,1914.0,4378.41015625,13555.669921875
2023-06-28,69.55999755859375,102.91000366210938,1912.300048828125,4376.85986328125,13591.75
2023-06-29,69.86000061035156,103.33999633789062,1909.199951171875,4396.43994140625,13591.330078125
2023-06-30,70.63999938964844,102.91000366210938,1921.0999755859375,4450.3798828125,13787.919921875
2023-07-03,69.79000091552734,102.98999786376953,1921.699951171875,4455.58984375,13816.76953125
2023-07-05,71.79000091552734,103.37000274658203,1919.5999755859375,4446.81982421875,13791.650390625
2023-07-06,71.80000305175781,103.16999816894531,1908.699951171875,4411.58984375,13679.0400390625
2023-07-07,73.86000061035156,102.2699966430664,1926.199951171875,4398.9501953125,13660.7197265625
2023-07-10,72.98999786376953,101.97000122070312,1925.0,4409.52978515625,13685.48046875
2023-07-11,74.83000183105469,101.7300033569336,1931.300048828125,4439.259765625,13760.7001953125
2023-07-12,75.75,100.5199966430664,1956.199951171875,4472.16015625,13918.9599609375
2023-07-13,76.88999938964844,99.7699966430664,1959.199951171875,4510.0400390625,14138.5703125
2023-07-14,75.41999816894531,99.91000366210938,1960.0999755859375,4505.419921875,14113.7001953125
2023-07-17,74.1500015258789,99.83999633789062,1952.4000244140625,4522.7900390625,14244.9501953125
2023-07-18,75.75,99.94000244140625,1977.199951171875,4554.97998046875,14353.6396484375
2023-07-19,75.3499984741211,100.27999877929688,1977.5,4565.72021484375,14358.01953125
2023-07-20,75.62999725341797,100.87999725341797,1968.300048828125,4534.8701171875,14063.3095703125
2023-07-21,77.06999969482422,101.06999969482422,1964.300048828125,4536.33984375,14032.8095703125
